Cardinal Richelieu, King Louis XIII, mention, The cardinal had mentioned these diamond studs to the king.
King Louis XIII, Cardinal Richelieu, humiliated, The king had been humiliated by the cardinal.
King Louis XIII, Anne of Austria, obtain information, The king hoped to obtain some information from a conversation with Anne of Austria.
King Louis XIII, Anne of Austria, accost, He accosted her with fresh menaces.
Anne of Austria, Louis XIII, replying, Anne of Austria lowered her head without replying to Louis XIII's menaces.
Louis XIII, Anne of Austria, request appearance with diamond studs, Louis XIII wanted Anne of Austria to appear with the diamond studs he gave her.
Anne of Austria, Louis XIII, terror, Anne of Austria looked at the king with terror in her eyes.
Anne of Austria, diamond studs, gave to the Duke of Buckingham, Anne of Austria gave the diamond studs to the Duke of Buckingham.
King Louis XIII, Anne of Austria, agreement, The king agreed Anne of Austria would appear with the diamond studs.
Mme. Bonacieux, Anne of Austria, offer service, Mme. Bonacieux offered to help Queen Anne.
Anne of Austria, Mme. Bonacieux, trust, Queen Anne questioned if she could trust Mme. Bonacieux.
Mme. Bonacieux, Duke of Buckingham, retrieve diamond studs, Mme. Bonacieux suggested they must retrieve the diamond studs from the Duke of Buckingham.
Anne of Austria, Mme. Bonacieux, honor and life-saving, Anne of Austria told Mme. Bonacieux she saved her honor and life.
Mme. Bonacieux, Cardinal Richelieu, influenced by, Mme. Bonacieux found her husband had been influenced by the Comte de Rochefort, who had become the best friend of Bonacieux.
