An old Sow, have, Three little Pigs
Three little Pigs, seek, their fortune
The first Pig, meet, A Man with a bundle of straw
The first Pig, request, A bundle of straw
A Man with a bundle of straw, give, A bundle of straw
The first Pig, build, A house of straw
A Wolf, knock, A door
A Wolf, ask to enter, A house of straw
The first Pig, refuse to let in, A Wolf
The first Pig, mention, The hair of his chinny chin chin
A Wolf, huff and puff, A house of straw
A Wolf, blow in, A house of straw
A Wolf, eat, The first Pig
